college_code,college_name
E278,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY,  BELAGAVI"
E279,Visvesvaraya Technological University Belgaum
E279,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY,  BELAGAVI CAMPUS"
E280,G S S S School of Architecture for Women Mysore
E281,"Government Engineering College,  Challakere"
E281,"Government Engineering College Challakere, Chitradurga"
E283,University of Mysore Mysore
E283,"University of Mysuru B.N.BAHADUR INSTITUTE OF MANAGEMENT SCIENCES,  (DOS IN BUSSINESS ADMINISTRATION)UNIVERSITY OF MYSORE"
E283,"University of Mysore HUNSUR ROAD,  MYSORE"
E284,"Sri Jayachamarajendra College of Engineering(Constituent College of JSS Science & Technology University),  Mysore JSS TECHNICAL INSTITUTIONS CAMPUS"
E284,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
E285,"RV University R.V. VIDYANIKETAN POST,  MYSORE ROAD"
E285,R V University Bangalore
E286,"BGS College of Engineering & Technology, Bangalore"
E286,"BGS College of Engineering and Technology Mahalakshmipuram, Bangalore"
E287,"Vidyashilp University #125,  Bettenahalli"
E288,Garden City University Bangalore
E288,"Garden City University 16th KM,  Old Madras Road (Near K R Puram)"
E289,"Visvesvaraya Technological University - Regional Center Rajapur, Kalburgi"
E289,"Visvesvaraya Technological University, VTU"
E290,Visvesvaraya Technological University - Regional Center Mysore
E290,"Visvesvaraya Technological University, VTU"
E291,"Government Engineering College Naragund, Gadag"
E291,"Government Engineering College, Naragund"
E292,"Government Engineering College, Mailur"
E292,Government Engineering College Bidar
E293,Poojya Dr.Shivakumar Swamiji School of Architecture Gulbarga
E294,"School of Architecture,  Srinivas Institute of Technology Mangalore."
E295,"School of Architecture, K.L`S Gogte Inst. of Technology"
E296,"School of Architecture, Siddaganga Institute of Technology"
E297,"ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY YELAHANKA,  BANGALORE"
E297,"ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY SURVEY NO 2/8 2/9 AND 2/2,  KAMAKSHIPURA"
E298,"School of Architecture, M S Ramaiah Inst. of Technology"
E299,"Ghousia Institute of Technology for Women,  Bangalore BANGALORE"
E299,"Ghousia Institute of Technology for Women,  Bangalore Hosur Road"
E300,"AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY PRASANNAHALLI MAIN RAOD,  AKKUPETE VILLAGE"
E300,"AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY KASABA HOBLI,  BANGALORE RURAL"
E301,"KISHKINDA UNIVERSITY BALLARI INSTITUTE OF TECHNOLOGY & MANAGEMENT (BITM) CAMPUS,  BALLARI-HOSPET ROAD"
E301,KISHKINDA UNIVERSITY BELLARI
E302,"AMITY UNIVERSITY National Highway 648 (old 207),  Devanahalli - Doddaballapur Road"
E303,"GM University KARUR VILLAGE,  KASABA HOBLI"
E303,"G M UNIVERSITY KARUR VILLAGE,  DAVANGERE"
E304,"BHARATESH INSTITUTE OF TECHNOLOGY BASAVANKUDACHI EXTN,  BELAGAVI"
E304,ANUVARTIK MIRJI BHARATESH INSTITUTE OF TECHNOLOGY BELAGAVI
E305,DR H N NATIONAL COLLEGE OF ENGINEERING BANGALORE
E305,DR H N NATIONAL COLLEGE OF ENGINEERING BENGALURU
E306,"THE CHANAKYA UNIVERSITY NO 29 HARALURU,  DEVANAHALLI TALUK (NEAR BENGALURU INTERNATIONLA AIRPORT)"
E307,SESHADRIPURAM INSTITUTE OF TECHNOLOGY MYSORE
E307,SESHADRIPURAM INSTITUTE OF TECHNOLOGY MYSURU MYSURU
E308,"CONSTITUENT COLLEGE OF VTU,  CHINTAMANI CHIKABALLAPURA DIST CHIKBALLAPURA"
E308,"CONSTITUENT COLLEGE OF VTU CHINTAMANI,  CHIKABALLPURA"
E309,"CONSTITUENT COLLEGE OF VTU,  CHINTAMANI CHIKABALLAPURA DIST CHIKBALLAPURA"
E309,"CONSTITUENT COLLEGE OF VTU,  (H.GOV) CHINTAMANI"
E310,"GOVERNMENT ENGINEERING COLLEGE,  ARASIKERE ARASIKERE"
E311,"RATHINAM INSTITUTE OF TECHNOLOGY DODDAKAMMANAHALLY VILLAGE,  BEGUR HOBLI"
E312,"NEW EBENEZER INSTITUTE OF TECHNOLOGY HENNUR BAGALUR MAIN ROAD,  KOTHNUR POST"
E313,"HARSHA INSTITUTE OF TECHNOLOGY VARADANAYAKANA HALLY VILLAGE,  NELAMANGALA TALUK"
E314,"CAUVERY COLLEGE OF ENGINEERING KBL LAYOUT,  ALANAHALLY MYSORE"
E315,"VTU Constituent Engineering College,  Gokak"
E315,VTU CONSTITUENT ENGINEERING COLLEGE - GOKAK
